SPS Customer#,CustomerId,AccountNumber,CompanyName,Store Mapping,
0569813430012,3673,5298,KEHE AURORA CO DC12,KL - Richmond,
0569813430041,3676,5264,KEHE CHINO A DC41,KL - Richmond,
0569813430019,3679,5645,KEHE DALLAS DC19,KL - Richmond,
0569813430055,3680,5329,KEHE DOUGLASVILLE DC55,PSS - NJ,
0569813430001,3681,4557,KEHE ELKTON FL DC01,PSS - NJ,
0569813430016,3682,5581,KEHE ELLETTSVILLE DC16,PSS - NJ,
0569813430027,3684,5506,KEHE MARYLAND DC27,PSS - NJ,
0569813430031,3685,5729,KEHE MIAMI DC31,PSS - NJ,
0569813430025,3686,5293,KEHE PORTLAND DC25,KL - Richmond,
0569813430018,3687,4558,KEHE ROMEOVILLE DC18,PSS - NJ,
0569813430033,3688,5233,KEHE STOCKTON DC33,KL - Richmond,
0569813430015,3691,4555,KEHE TOL LHV PA DC15,PSS - NJ,
0569813430045,4483,5742,KEHE ONTARIO DC45,KL - Richmond,
