Source,RawKeyValue,MappedCustomer,Priority,Active,Notes
kehe,kehe,569813430045,100,True,Migrated from CSV
kehe,kehe,569813430041,100,True,Migrated from CSV
kehe,kehe,569813430019,100,True,Migrated from CSV
kehe,kehe,569813430055,100,True,Migrated from CSV
kehe,kehe,569813430001,100,True,Migrated from CSV
kehe,kehe,569813430016,100,True,Migrated from CSV
kehe,kehe,569813430027,100,True,Migrated from CSV
kehe,kehe,569813430031,100,True,Migrated from CSV
kehe,kehe,569813430025,100,True,Migrated from CSV
kehe,kehe,569813430018,100,True,Migrated from CSV
kehe,kehe,569813430033,100,True,Migrated from CSV
kehe,kehe,569813430015,100,True,Migrated from CSV
kehe,kehe,569813430045,100,True,Migrated from CSV
