Source,RawStoreID,MappedStoreName,StoreType,Priority,Active,Notes
kehe,0569813430012,KL - Richmond,distributor,100,TRUE,nan
kehe,0569813430041,KL - Richmond,distributor,100,TRUE,nan
kehe,0569813430019,KL - Richmond,distributor,100,TRUE,nan
kehe,0569813430055,PSS - NJ,distributor,100,TRUE,nan
kehe,0569813430001,PSS - NJ,distributor,100,TRUE,nan
kehe,0569813430016,PSS - NJ,distributor,100,TRUE,nan
kehe,0569813430027,PSS - NJ,distributor,100,TRUE,nan
kehe,0569813430031,PSS - NJ,distributor,100,TRUE,nan
kehe,0569813430025,KL - Richmond,distributor,100,TRUE,nan
kehe,0569813430018,PSS - NJ,distributor,100,TRUE,nan
kehe,0569813430033,KL - Richmond,distributor,100,TRUE,nan
kehe,0569813430015,PSS - NJ,distributor,100,TRUE,nan
kehe,0569813430045,KL - Richmond,distributor,100,TRUE,nan
