Raw Item,Mapped Item
12-046-2,12-046-2
12 046 3,12-046-3
130251,13-025-1
13 025 126,13-025-126
1302514,13-025-14
1302515,13-025-15
1302517,13-025-17
130252,13-025-2
1302520,13-025-20
13 025 24,13-025-24
13-025-25,13-025-25
13-025-26,13-025-26
130253,13-025-3
130254,13-025-4
130255,13-025-5
130256,13-025-6
130257,13-025-7
130258,13-025-8
130259,13-025-9
13-027-1,13-027-1
13-027-2,13-027-2
13-027-3,13-027-3
13-027-4,13-027-4
170411,17-041-1
170417,17-041-7
170512,17-051-2
6016,6-016
90311,9-031-1
90881,9-088-1
