Raw Name,Mapped Name
WHOLE FOODS #10005 PALO ALTO,WHOLE FOODS #10005 PALO ALTO
WHOLE FOODS #10006 TELEGRAPH,WHOLE FOODS #10006 TELEGRAPH
WHOLE FOODS #10009 MILLER,WHOLE FOODS #10009 MILLER
WHOLE FOODS #10027 LOS GATOS,WHOLE FOODS #10027 LOS GATOS
WHOLE FOODS #10033 CAMPBELL,WHOLE FOODS #10033 CAMPBELL
WHOLE FOODS #10044 SF CALI ST,WHOLE FOODS #10044 SF CALI ST
WHOLE FOODS #10071 SAN RAFAEL,WHOLE FOODS #10071 SAN RAFAEL
WHOLE FOODS #10087 MONTEREY,WHOLE FOODS #10087 MONTEREY
WHOLE FOODS #10101 WALNUT CREEK,WHOLE FOODS #10101 WALNUT CREEK
WHOLE FOODS #10122 FRESNO,WHOLE FOODS #10122 FRESNO
WHOLE FOODS #10126 SAN RAMON,WHOLE FOODS #10126 SAN RAMON
WHOLE FOODS #10137 SEBASTOPOL,WHOLE FOODS #10137 SEBASTOPOL
WHOLE FOODS #10138 PETALUMA,WHOLE FOODS #10138 PETALUMA
WHOLE FOODS #10139 YULUPA,WHOLE FOODS #10139 YULUPA
WHOLE FOODS #10150 SAN MATEO,WHOLE FOODS #10150 SAN MATEO
WHOLE FOODS #10151 SF 4TH ST,WHOLE FOODS #10151 SF 4TH ST
WHOLE FOODS #10152 SACRAMENTO,WHOLE FOODS #10152 SACRAMENTO
WHOLE FOODS #10154 REDWOOD CITY,WHOLE FOODS #10154 REDWOOD CITY
WHOLE FOODS #10155 LOS ALTOS,WHOLE FOODS #10155 LOS ALTOS
WHOLE FOODS #10221 HARRISON,WHOLE FOODS #10221 HARRISON
WHOLE FOODS #10230 ROSEVILLE,WHOLE FOODS #10230 ROSEVILLE
WHOLE FOODS #10234 NOVATO,WHOLE FOODS #10234 NOVATO
WHOLE FOODS #10238 SF RHODE,WHOLE FOODS #10238 SF RHODE
WHOLE FOODS #10259 SAN JOSE,WHOLE FOODS #10259 SAN JOSE
WHOLE FOODS #10267 CUPERTINO,WHOLE FOODS #10267 CUPERTINO
WHOLE FOODS #10281 SONOMA,WHOLE FOODS #10281 SONOMA
WHOLE FOODS #10284 BOISE,WHOLE FOODS #10284 BOISE
WHOLE FOODS #10288 NAPA,WHOLE FOODS #10288 NAPA
WHOLE FOODS #10293 RENO,WHOLE FOODS #10293 RENO
WHOLE FOODS #10320 SAN JOSE,WHOLE FOODS #10320 SAN JOSE
WHOLE FOODS #10329 SANTA CRUZ,WHOLE FOODS #10329 SANTA CRUZ
WHOLE FOODS #10337 BLITHEDALE,WHOLE FOODS #10337 BLITHEDALE
WHOLE FOODS #10349 LAFAYETTE,WHOLE FOODS #10349 LAFAYETTE
WHOLE FOODS #10362 SF STANYON,WHOLE FOODS #10362 SF STANYON
WHOLE FOODS #10365 CAPITOLA,WHOLE FOODS #10365 CAPITOLA
WHOLE FOODS #10370 CODDINGTOWN,WHOLE FOODS #10370 CODDINGTOWN
WHOLE FOODS #10379 SF 24TH ST,WHOLE FOODS #10379 SF 24TH ST
WHOLE FOODS #10396 CASTRO,WHOLE FOODS #10396 CASTRO
WHOLE FOODS #10432 SF OCEAN,WHOLE FOODS #10432 SF OCEAN
WHOLE FOODS #10447 FOLSOM,WHOLE FOODS #10447 FOLSOM
WHOLE FOODS #10467 FREMONT,WHOLE FOODS #10467 FREMONT
WHOLE FOODS #10530 GILMAN ST,WHOLE FOODS #10530 GILMAN ST
WHOLE FOODS #10547 DUBLIN,WHOLE FOODS #10547 DUBLIN
WHOLE FOODS #10548 YVR,WHOLE FOODS #10548 YVR
WHOLE FOODS #10633 SANTA CLARA,WHOLE FOODS #10633 SANTA CLARA
WHOLE FOODS #10677 CONCORD,WHOLE FOODS #10677 CONCORD
WHOLE FOODS #10703 TAHOE,WHOLE FOODS #10703 TAHOE
WHOLE FOODS #10707 SUNNYVALE,WHOLE FOODS #10707 SUNNYVALE
WHOLE FOODS #10708 TEMESCAL,WHOLE FOODS #10708 TEMESCAL
WHOLE FOODS #10717 STONESTOWN,WHOLE FOODS #10717 STONESTOWN
WHOLE FOODS #10718 TRINITY,WHOLE FOODS #10718 TRINITY
