Source,RawKeyType,RawKeyValue,MappedItemNumber,Vendor,MappedDescription,Priority,Active,Notes,CasePk
VMC,vendor_item,774213,17-001-1,VMC,C&A Basil Genovese Pesto Sauce 6/7.9oz,100,TRUE,,6
VMC,vendor_item,774214,17-001-2,VMC,C&A Artichoke Lemon Pesto Sauce 6/7.9oz,100,TRUE,,6
VMC,vendor_item,774215,17-051-1,VMC,C&A Marin. Qrtd Artichokes 6/14.5oz,100,TRUE,,6
VMC,vendor_item,774212,3-047,VMC,C&A Balsamic Vinegar Igp 6/16.9oz,100,TRUE,,6
VMC,vendor_item,774223,17-003-2,VMC,C&A Puttanesca Pasta Sauce 6/16.8oz,100,TRUE,,6
VMC,vendor_item,774226,17-003-4,VMC,C&A Tomato w/Cheese Pasta Sauce 6/16.8oz,100,TRUE,,6
VMC,vendor_item,774222,17-003-1,VMC,C&A Tomato w/Basil Pasta Sauce 6/16.8oz,100,TRUE,,6
VMC,vendor_item,774225,17-003-3,VMC,C&A Arrabbiata Pasta Sauce 6/16.8oz,100,TRUE,,6
VMC,vendor_item,774239,8-100-4,VMC,C&A Farro 8/17.6oz,100,TRUE,,8
VMC,vendor_item,774250,7-210-71,VMC,C&A Organic Penne Rigate #71 12/16oz,100,TRUE,,12
VMC,vendor_item,700839,7-210-42,VMC,C&A Organic Elbows #42 12/16oz,100,TRUE,,12
VMC,vendor_item,774251,7-210-66,VMC,C&A Organic Fusilli #66 12/16oz,100,TRUE,,12
VMC,vendor_item,774253,7-210-22,VMC,C&A Organic Farfalle #22 12/16oz,100,TRUE,,12
VMC,vendor_item,774248,7-210-82,VMC,C&A Organic Spaghetti #82 20/16oz,100,TRUE,,20
VMC,vendor_item,774261,12-002-1,VMC,C&A Hazelnut Rolled Wafer 6/14.1oz,100,TRUE,,6
VMC,vendor_item,774263,12-002-2,VMC,C&A Chocolate Rolled Wafer 6/14.1oz,100,TRUE,,6
VMC,vendor_item,774262,12-002-3,VMC,C&A Lemon Rolled Wafer 6/14.1oz,100,TRUE,,6
VMC,vendor_item,774264,12-002-4,VMC,C&A Vanilla Rolled Wafer 6/14.1oz,100,TRUE,,6
VMC,vendor_item,774231,8-200-1,VMC,K&L Quinoa RTE Meal- Artichoke & Roasted Peppers 6/7.9oz,100,TRUE,,6
VMC,vendor_item,774233,8-200-2,VMC,K&L Quinoa RTE Meal- Spicy Jalapeno & Roasted Peppers 6/7.9oz,100,TRUE,,6
VMC,vendor_item,774234,8-200-3,VMC,K&L Quinoa RTE Meal-Mango & Roasted Peppers 6/7.9oz,100,TRUE,,6
VMC,vendor_item,774235,8-200-4,VMC,K&L Quinoa RTE Meal- Basil Pesto 6/7.9oz,100,TRUE,,6
VMC,vendor_item,700842,12-006-1,VMC,K&L Dark Choc Almond Stuffed Dates 8/3.5oz,100,TRUE,,8
VMC,vendor_item,700841,8-901,VMC,K&L RTH Basmati Rice 6/8oz,100,TRUE,,6
VMC,vendor_item,700836,8-902,VMC,K&L RTH Golden Vegetable Rice 6/8oz,100,TRUE,,6
VMC,vendor_item,700805,8-907,VMC,K&L RTE Organic Riced Cauliflower 6/8oz,100,TRUE,,6
